Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
International Conference on Distributed Computing Systems,ICDCS,icdcs,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A,A,A,A,A,A,A,A,A
International Conference on Distributed Computing and Artificial Intelligence,DCAI,dcai,National(Spain),"Artificial intelligence, Distributed computing and systems software, ",Artificial intelligence,Distributed computing and systems software,,National(Spain),National(Spain),,,,,,,
International Conference on Distributed Computing and Internet Technologies,ICDCIT,icdcit,National: India,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: India,National: India,National: India,C,C,C,C,C,
International Conference on Distributed Computing and Networking,ICDCN,icdcn,National: India,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: India,National: India,National: India,B,B,B,B,B,B
International Conference on Distributed Frameworks for Multimedia Applications,DFMA,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
International Conference on Dublin Core and Metadata Applications,DC,,C,"Data management and data science, , ",Data management and data science,,,C,C,C,C,C,C,C,C,
International Conference on Electronic Commerce,ICEC,,C,"Applied computing, , ",Applied computing,,,C,C,C,,C,C,C,C,C
International Conference on Electronic Commerce and Web Technology,ECWeb,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,A
International Conference on Electronic Voting,EVOTE,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
International Conference on Email and Anti-Spam,CEAS,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,B
International Conference on Embedded Software,EMSOFT,emsoft,Journal Published,"Distributed computing and systems software, , ",Distributed computing and systems software,,,Journal published,Journal published,A,A,A,A,A,A,A
International Conference on Embedded Software and Systems,ICESS,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,C,
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,ewsn,B,"Distributed computing and systems software, , ",Distributed computing and systems software,Communications Technologies†,,B,B,A,A,A,A,A,A,A
International Conference on Embedded and Real Time Computing Systems and Applications,RTCSA,rtcsa,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,B,B,B,B,B,B,B,B
International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,euspn,Unranked,"Distributed computing and systems software, , ",Distributed computing and systems software,,,Unranked,Unranked,Unranked,Unranked,,,,,
International Conference on Engineering Applications of Neural Networks,EANN,eann,C,"Machine learning, , ",Machine learning,,,C,C,C,C,C,C,C,C,
"International Conference on Engineering Design (ICED), The Design Society",ICED,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
International Conference on Engineering Education,ICEE,,,"Other Engineering†, , ",Other Engineering†,,,,,,C,C,C,C,C,C
International Conference on Enterprise Information Systems,ICEIS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,B
International Conference on Enterprise Information Systems and Web Technologies,EISWT,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
International Conference on Enterprise Integration and Modelling Technology,ICEIMT,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,B
International Conference on Entertainment Computing,ICEC,iwec,,"Information Systems†, , ",Information Systems†,,,,,,C,,,,,
International Conference on Evaluation and Assessment in Software Engineering,EASE,ease,A,"Software engineering, , ",Software engineering,,,A,A,A,A,A,A,A,A,A
International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,enase,B,"Software engineering, , ",Software engineering,,,B,B,B,B,B,B,B,B,
International Conference on Evolutionary Multi-Criterion Optimization,EMO,emo,C,"Artificial intelligence, Human-centred computing, ",Artificial intelligence,Human-centred computing,,,,,,,,,,
International Conference on Experimental Implementation of Quantum Computation,QuantCom,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,C
International Conference on Factory Communication Systems,WFCS,wfcs,C,"CSE - Computer Systems Engineering, Distributed computing and systems software, Applied computing",CSE - Computer Systems Engineering,Distributed computing and systems software,Applied computing,,,,,,,,,
International Conference on Field and Service Robotics,FSR,fsr,,"Artificial Intelligence and Image Processing†, Manufacturing Engineering†, ",Artificial Intelligence and Image Processing†,Manufacturing Engineering†,,,,,A,A,A,A,A,A
International Conference on Formal Engineering Methods,ICFEM,icfem,C,"Software engineering, , ",Software engineering,,,C,B,B,B,B,B,B,B,B
International Conference on Formal Methods and Models for Co-Design,MEMOCODE,memocode,C,"Software engineering, Theory of computation, ",Software engineering,Theory of computation,,C,C,,,,,,,
International Conference on Formal Methods for Open Object-Based Distributed Systems,FMOOD,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,C,C,C,C,C,C
International Conference on Formal Ontology in Information Systems,FOIS,fois,C,"Artificial intelligence, Theory of computation, ",Artificial intelligence,Theory of computation,,B,B,A,A,A,A,A,A,
International Conference on Formal Structures for Computation and Deduction,FSCD,fscd,B,"Theory of computation, , ",Theory of computation,,,B,unranked:NEW,,,,,,,
International Conference on Foundation on Data Organization,FODO,,,"Data Format†, , ",Data Format†,,,,,,A,A,A,A,A,A
International Conference on Frontiers of Handwriting Recognition,ICFHR,icfhr,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,B,B,B,B,B,B,B,B,
International Conference on Frontiers of Information Technology,FIT,fit,National: Pakistan,"Information and Computing Sciences, , ",Information and Computing Sciences,,,National: Pakistan,National: Pakistan,National: Pakistan,C,C,C,C,C,
International Conference on Functional Programming,ICFP,icfp,A,"Software engineering, , ",Software engineering,,,A,A,A*,A*,A*,A*,A*,A,A*
International Conference on Fuzzy Systems and Knowledge Discovery,FSKD,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
International Conference on Generative Programming and Component Engineering,GPCE,gpce,B,"Software engineering, , ",Software engineering,,,B,B,B,B,B,B,B,B,B
International Conference on Genetic Algorithms,ICGA,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,B,B,B,B,B,B
International Conference on GeoComputation,GeoComp,,,"Geomatic Engineering †, , ",Geomatic Engineering †,,,,,,C,C,C,C,C,C
International Conference on Graph Transformations,ICGT,gg,B,"Theory of computation, Data management and data science, ",Theory of computation,Data management and data science,,B,B,B,B,B,B,B,B,B
"International Conference on Green, Pervasive and Cloud Computing (was Grid and Pervasive Computing)",GPC,gpc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,
International Conference on Grid Computing and Applications,GCA,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
International Conference on Grid and Cooperative Computing,GCC,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
"International Conference on Grid computing, high-performance and Distributed Applications",GADA,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,codesisss,Journal Published,"CSE - Computer Systems Engineering, Distributed computing and systems software, ",CSE - Computer Systems Engineering,Distributed computing and systems software,,C,C,C,C,C,C,C,C,C
International Conference on Health Informatics,Healthinf,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
"International Conference on Heterogeneous Networking for Quality, Reliability, Security and Robustness (was International Conference on Quality of Service in Heterogeneous Wired/Wireless Networks)",Qshine,qshine,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,B,B,B,B,B,B,B
International Conference on High Performance Computing,HiPC,hipc,National: India,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: India,National: India,National: India,B,C,A,A,A,A
International Conference on High Performance Computing and Networking,HPCN,,,", , ",,,,,,,B,B,B,B,,B
"International Conference on High Performance Computing, Networking and Communication Systems",HPCNCS,,,"Distributed Computing†, Computer Hardware†, ",Distributed Computing†,Computer Hardware†,,,,,B,B,B,B,B,
International Conference on High Performance Scientific Computing,HPSC,,National: Vietnam,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: Vietnam,National: Vietnam,National: Vietnam,C,C,C,C,C,
International Conference on High-Performance Clustered Computing (International Conference on Linux Clusters),LCI,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
International Conference on Human Factors in Computing Systems,CHI,chi,A*,"Human-centred computing, , ",Human-centred computing,Design Practice and Management†,,A*,A*,A*,A*,A*,A*,A*,A,A*
International Conference on Human-Computer Interaction with Mobile Devices and Services,MobileHCI,mhci,B,"Human-centred computing, , ",Human-centred computing,,,B,B,B,B,B,B,B,B,A
International Conference on Hybrid Artificial Intelligence Systems,HAIS,hais,National: Spain,"Artificial intelligence, , ",Artificial intelligence,,,National: Spain,National: Spain,National: Spain,C,C,C,C,C,
International Conference on Hybrid Intelligent Systems,HIS,his,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,
International Conference on IT Based Higher Education and Training,ITHET,,,", , ",,,,,,,C,C,C,C,,C
International Conference on Image Analysis and Processing,ICIAP,iciap,National: Italy,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,National: Italy,National: Italy,National: Italy,Nationai: Italian,B,B,B,B,A
International Conference on Image Analysis and Recognition,ICIAR,iciar,,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,,C,C,C,C,C,,,
International Conference on Image Processing Applications and Systems,IPAS,ipas2,C,"Computer vision and multimedia computation, Artificial intelligence, CSE - Computer Systems Engineering",Computer vision and multimedia computation,Artificial intelligence,CSE - Computer Systems Engineering,,,,,,,,,
International Conference on Image and Graphics,ICIG,icig,National: China,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,,National: China,National: China,National: China,C,C,C,C,C,
International Conference on Image and Signal Processing,ICISP,icisp,C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,C,C,C,C,C,C,C,C,
International Conference on Immersive Telecommunications,IMMERSCOM,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
International Conference on Implementation and Application of Automata,CIAA,wia,C,"Theory of computation, , ",Theory of computation,,,C,B,B,B,B,B,B,B,B
"International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings",IAQVEC,,,"Building†, , ",Building†,,,,,,,,,,A,
International Conference on Indoor Positioning and Indoor Navigation,IPIN,ipin,C,"Distributed computing and systems software, Applied computing, ",Distributed computing and systems software,Applied computing,,C,C,,,,,,,
International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,IEA/AIE,ieaaie,C,"Artificial intelligence, Machine learning, Computer vision and multimedia computation",Artificial intelligence,Machine learning,Computer vision and multimedia computation,C,C,B,B,B,C,C,C,
International Conference on Informatics & Data-Driven Medicine,IDDM,iddm,C,"Machine learning, Artificial intelligence, ",Machine learning,Artificial intelligence,,C,C,,,,,,,
International Conference on Informatics Education and Research,AIS SIGED: IAIM,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,
"International Conference on Informatics in Control, Automation and Robotics",ICINCO,icinco,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,,,,,,,
International Conference on Information Fusion,FUSION,fusion,C,"Data management and data science, , ",Data management and data science,,,C,C,C,C,C,C,C,C,C
International Conference on Information Processing and Management of Uncertainty,IPMU,ipmu,C,"Data management and data science, Artificial intelligence, ",Data management and data science,Artificial intelligence,,C,C,C,C,C,C,C,C,C
International Conference on Information Quality,ICIQ,,,"Information Systems†, , ",Information Systems†,,,,,,Unranked,Unranked,Unranked,,,
International Conference on Information Resources Management,Conf-IRM,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,
International Conference on Information Security and Assurance,ISA,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
International Conference on Information Security and Cryptography,SECRYPT,secrypt,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,B,B,B,B,B,B,B,C
International Conference on Information Security and Cryptology,ICISC,icisc,National: Korea,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,National: Korea,National: Korea,National: Korea,B,B,B,B,B,
International Conference on Information Systems,ICIS,icis,,", , ",,,,,,,,,,,,A*
International Conference on Information Systems Analysis and Synthesis,ISAS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
International Conference on Information Systems Development,ISD,,,"Information Systems†, , ",Information Systems†,,,,,,A,A,A,A,A,A
International Conference on Information Systems Security,ICISS,iciss,National: India,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,National: India,National: India,National: India,National: India,B,B,B,B,
International Conference on Information Systems Security and Privacy,ICISSP,icissp,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,C,,,,,,,
International Conference on Information Systems Technology and its Application,ISTA,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,A
International Conference on Information Technology Interfaces,ITI,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
International Conference on Information Technology and Applications,ICITA,,Australasian C,"Applied computing, , ",Applied computing,,,Australasian C,Australasian C,Australasian C,C,C,C,C,C,C
International Conference on Information Technology in Regional Areas,ITiRA,,,"Other Information and Computing Sciences†, Information Systems†, ",Other Information and Computing Sciences†,Information Systems†,,,,,C,C,C,C,C,C
International Conference on Information Technology: Coding and Computing,ITCC,itcc,,"Information and Computing Sciences, , ",Information and Computing Sciences,,,,,C,C,C,C,C,C,
International Conference on Information Theoretic Security,ICITS,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
International Conference on Information Visualisation,IV,iv,C,"Human-centred computing, Graphics, augmented reality and games, ",Human-centred computing,"Graphics, augmented reality and games",,C,B,B,B,B,B,B,B,
International Conference on Information and Communication Technologies and Development,ICTD,ictd,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,C,
International Conference on Information and Communication Technologies for Ageing Well and e-Health,ICT4AWE,,C,"Applied computing, Computer vision and multimedia computation, Artificial intelligence",Applied computing,Computer vision and multimedia computation,Artificial intelligence,C,C,,,,,,,
International Conference on Information and Communication Technologies in Tourism,ENTER,enter,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,C,
International Conference on Information and Communications Security,ICICS,icics,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,B,B,B,B,B,B,B,
International Conference on Information and Communications Technology,ICICT,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
International Conference on Information and Emerging Technologies,ICIET,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
International Conference on Information and Knowledge Engineering,IKE,,National: USA,"Artificial intelligence, , ",Artificial intelligence,,,National: USA,National: USA,National: USA,C,C,C,C,C,
"International Conference on Innovation in Architecture, Engineering and Construction",AEC,,,"Civil Engineering†, Architecture†, ",Civil Engineering†,Architecture†,,,,,,,,,C,
International Conference on Innovations for Community Services (was Innovative Internet Computer Systems IICS until 2014),I4CS,iics,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,C,C
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,cpaior,B,"Artificial intelligence, , ",Artificial intelligence,,,B,B,B,B,B,B,B,B,A
"International Conference on Intelligent Agents, Web Technologies, and Internet Commerce",IAWTIC,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,C
International Conference on Intelligent Data Engineering and Automated Learning,IDEAL,ideal,C,"Information and Computing Sciences, , ",Information and Computing Sciences,,,C,C,C,C,C,C,C,C,C
International Conference on Intelligent Pervasive Computing,IPC,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,,
"International Conference on Intelligent Sensors, Sensor Networks and Information Processing",ISSNIP,,,"Automotive Engineering†, , ",Automotive Engineering†,,,,,,,,,,B,
"International Conference on Intelligent Software Methodologies, Tools, and Techniques (was International Conference on Software Methods and Tools)",SoMeT,somet,C,"Software engineering, , ",Software engineering,,,C,C,B,B,B,B,B,B,B
International Conference on Intelligent Systems,ICIL,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
International Conference on Intelligent Systems Designs and Applications,ISDA,isda,C,"Artificial intelligence, Applied computing, ",Artificial intelligence,Applied computing,,C,C,C,C,C,C,C,C,
International Conference on Intelligent Systems and Knowledge Engineering,ISKE,iske,National: China,"Artificial intelligence, , ",Artificial intelligence,,,National: China,National: China,National: China,B,B,B,B,B,
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,cicling,C,"Artificial intelligence, , ",Artificial intelligence,,,C,B,B,B,B,B,B,B,B
International Conference on Intelligent Tutoring Systems,ITS,its,B,"Applied computing, Human-centred computing, ",Applied computing,Human-centred computing,,B,B,A,A,A,A,A,A,A
International Conference on Intelligent User Interfaces,IUI,iui,A,"Human-centred computing, , ",Human-centred computing,,,A,A,A,A,A,A,A,A,A
International Conference on Intelligent and Advanced Systems,ICIAS,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,C,
International Conference on Interactive Digital Storytelling (2008 merger of 'ICVS International Conference on Virtual Storytelling' and 'TIDSE Technology for Interactive Digital Storytelling'),ICIDS,icids,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,C,C,C,C,C,C,C,,
International Conference on International and Communication Technologies,ICICTE,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
International Conference on Internet Computing,IC,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,C
International Conference on Internet Computing in Science and Engineering,ICICSE,,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,
International Conference on Internet Monitoring and Protection,ICIMP,,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,C,C,C,C,C,C,C,
International Conference on Internet Technologies and Applications,ITA,ita,National: USA,"Information and Computing Sciences, , ",Information and Computing Sciences,,,National: USA,National: USA,National: USA,B,B,B,B,B,
International Conference on Internet and Web Applications and Services,ICIW,,C,"Distributed computing and systems software, Data management and data science, ",Distributed computing and systems software,Data management and data science,,C,C,C,C,C,C,C,C,
"International Conference on Internet of Things, Big Data and Security",IoTBDS,iotbd,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,C,,,,,,,
International Conference on Knowledge Discovery and Data Mining,WKDD,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
International Conference on Knowledge Engineering and Knowledge Management,EKAW,ekaw,B,"Data management and data science, , ",Data management and data science,Information Systems†,,B,B,B,B,B,B,B,B,A
International Conference on Knowledge Engineering and Ontology Development,KEOD,,C,"Data management and data science, , ",Data management and data science,Information Systems†,,C,C,C,C,C,C,C,C,
"International Conference on Knowledge Science, Engineering and Management",KSEM,ksem,C,"Artificial intelligence, Data management and data science, ",Artificial intelligence,Data management and data science,,C,B,B,B,B,B,B,B,
International Conference on Knowledge-Based and Intelligent Information and Engineering Systems,KES,kes,B,"Artificial intelligence, , ",Artificial intelligence,,,B,B,B,B,B,B,B,B,B
International Conference on Knowledge-based Intelligent Electronic Systems,KIES,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
International Conference on Language and Automata Theory and Applications,LATA,lata,C,"Theory of computation, , ",Theory of computation,,,C,C,C,C,C,C,C,C,
International Conference on Learning Analytics and Knowledge,LAK,lak,A,"Human-centred computing, Applied computing, ",Human-centred computing,Applied computing,,A,A,,,,,,,
International Conference on Learning Representations,ICLR,iclr,A*,"Machine learning, , ",Machine learning,,,A*,A*,,,,,,,
International Conference on Legal Knowledge and Information Systems,JURIX,jurix,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,C,C
International Conference on Logic Programming,ICLP,iclp,B,"Theory of computation, Software engineering, ",Theory of computation,Software engineering,,A,A,A,A,A,A,A,A,A
International Conference on Logic Programming and Non-monotonic Reasoning,LPNMR,lpnmr,B,"Artificial intelligence, Theory of computation, ",Artificial intelligence,Theory of computation,,B,B,A,A,A,A,A,A,A
International Conference on Machine Learning,ICML,icml,A*,"Machine learning, , ",Machine learning,,,A*,A*,A*,A*,A*,A*,A*,A,A*
International Conference on Machine Learning and Applications,ICMLA,icmla,C,"Machine learning, , ",Machine learning,,,C,C,C,C,C,C,C,C,
International Conference on Machine Learning and Cybernetics,ICMLC,icmlc,National: China,"Machine learning, , ",Machine learning,,,National: China,National: China,National: China,C,C,C,C,C,
International Conference on Machine Vision,ICMV,icmv,C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,C,C,C,C,C,C,C,C,
International Conference on Managed Programming Languages and Runtimes (was ManLang and previously Principles and Practice of Programming in Java: PPPJ),MPLR,pppj,C,"Software engineering, , ",Software engineering,,,C,C,C,C,C,C,C,C,
International Conference on Management of Data,COMAD,comad,National: India,"Data management and data science, , ",Data management and data science,,,National: India,National: India,National: India,B,B,B,B,B,B
International Conference on Management of Digital EcoSystems,MEDES,medes,C,"Distributed computing and systems software, , ",Distributed computing and systems software,Information Systems†,Interdisciplinary Engineering†,C,Unranked,Unranked,Unranked,,,,,
International Conference on Management of Technology,IAMOT,,,"Technology†, , ",Technology†,,,,,,,,,,C,
International Conference on Massively Parallel Computing Systems,MPCS,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,B,B,B,B,B,B
International Conference on Mathematical Foundations of Programming Semantics,MFPS,mfps,B,"Theory of computation, , ",Theory of computation,,,B,B,,,,,,,
International Conference on Medical Information Visualisation,MediVis,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
International Conference on Methods and Models in Automation and Robotics,MMAR,mmar,National:Poland,"Machine learning, Artificial intelligence, ",Machine learning,Artificial intelligence,,National:Poland,National:Poland,,,,,,,
International Conference on Mobile Business,ICMB,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
International Conference on Mobile Data Management,MDM,mdm,B,"Data management and data science, Distributed computing and systems software, ",Data management and data science,Distributed computing and systems software,,B,B,C,C,C,C,C,C,B
International Conference on Mobile Systems and Pervasive Computing,MobiSPC,,Unranked,"Distributed computing and systems software, , ",Distributed computing and systems software,Distributed Computing†,Artificial Intelligence and Image Processing†,Unranked,Unranked,Unranked,Unranked,,,,,
"International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",UBICOMM,,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,
International Conference on Mobile and Ubiquitous Systems: Networks and Services,Mobiquitous,mobiquitous,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,B,A,A,A,A,A,A,A
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,models,A,"Software engineering, , ",Software engineering,,,A,A,A,A,B,B,B,B,A
International Conference on Model Transformation,ICMT,icmt,,"Software engineering, , ",Software engineering,,,,,B,B,B,B,B,B,
International Conference on Model and Data Engineering,MEDI,medi,C,"Data management and data science, Applied computing, ",Data management and data science,Applied computing,,C,C,,,,,,,
International Conference on Model-Driven Engineering and Software Development,MODELSWARD,modelsward,C,"Distributed computing and systems software, Software engineering, ",Distributed computing and systems software,Software engineering,,C,C,,,,,,,
"International Conference on Modeling, Simulation and Visualization Methods",MSV,,,"Technology†, , ",Technology†,,,,,,,,,,C,
International Conference on Modelling Decisions for Artificial Intelligence,MDAI,mdai,B,"Artificial intelligence, , ",Artificial intelligence,,,B,B,B,B,B,B,B,B,
International Conference on Modelling and Simulation,ECMS,ecms,C,"Artificial intelligence, , ",Artificial intelligence,,,Multiconference,B,B,B,B,B,B,B,B
International Conference on Multi Agent Systems,ICMAS,,,", , ",,,,,,,,,,,,A
International Conference on Multimedia,ICMR,,,"Computer Software†, , ",Computer Software†,,,,,,,,B,,,
International Conference on Multimedia Modelling,MMM,mmm,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,B,B,C,C,C,C,C,C,B
International Conference on Multimedia Retrieval (previously MIR),ICMR,mir,B,"Computer vision and multimedia computation, Data management and data science, ",Computer vision and multimedia computation,Data management and data science,,B,B,B,B,B,,B,B,A
International Conference on Multimodal Interaction (was International Conference on Multimodal Interfaces),ICMI,icmi,B,"Human-centred computing, , ",Human-centred computing,,,B,B,B,B,B,B,B,B,
International Conference on Natural Computation,ICNC,icnc,National: China,"Artificial intelligence, , ",Artificial intelligence,,,National: China,National: China,National: China,C,C,C,C,C,
International Conference on Network Protocols,ICNP,icnp,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,A,A,A,A,A,A,A,A
International Conference on Network Softwarization,NetSoft,netsoft/,B,"Distributed computing and systems software, Software engineering, ",Distributed computing and systems software,Software engineering,,B,B,,,,,,,
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,cnsm,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,B,B,B,B,B,B,B,B
International Conference on Networked Computing,INC,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
International Conference on Networking and Mobile Computing,ICCNMC,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,C,
"International Conference on Networking, Sensing and Control",ICNSC,,,"Automotive Engineering†, , ",Automotive Engineering†,,,,,,,,,,C,
International Conference on Networks and Communications,NetCoM,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,C,
International Conference on Neural Information Processing,ICONIP,iconip,B,"Machine learning, , ",Machine learning,,,B,B,A,A,A,A,A,A,A
"International Conference on Neural, Parallel and Scientific Computations",NPSC,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
International Conference on Neurosymbolic Learning and Reasoning,NeSy,nesy,C,"Artificial intelligence, Machine learning, Theory of computation",Artificial intelligence,Machine learning,Theory of computation,,,,,,,,,
International Conference on New Trends of Information and Service Science,NISS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
International Conference on Next Generation Web Services Practices,NWESP,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
International Conference on Next Generation Wired/Wireless Advanced Networking,NEW2AN,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,C,
International Conference on Object Oriented Information Systems,OOIS,,,", , ",,,,,,,C,C,C,C,,C
International Conference on Operations Research,GOR,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
International Conference on Operations Research and Enterprise Systems,ICORES,icores,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,,,,,,,
International Conference on Optimization: Techniques And Applications,ICOTA,,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,C
International Conference on Pairing-based Cryptography,Pairing,,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,C,C,C,C,C,C,C,
International Conference on Parallel Architecture and Compilation Techniques,PACT,IEEEpact,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,B,A,A,A,A,A,A,A
International Conference on Parallel Processing,ICPP,icpp,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,A,A,A,A,A,A,A,A
International Conference on Parallel Processing and Applied Mathematics,PPAM,ppam,National: Poland,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: Poland,National: Poland,National: Poland,C,C,C,C,C,
"International Conference on Parallel and Distributed Computing, Applications and Technologies",PDCAT,pdcat,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,B,B,B,B,B,B,B
